datetime,direct_radiation,PM25_PED,PM10_PED,SO2_PED,O3_PED,NO2_PED,CO_PED,RH_PED,TMP_PED,WDR_PED,WSP_PED,is_festival,is_weekend,AirQualityIndex,station_name
2/1/2021 2:00:00,0,19,38.41666667,3.625,1.791666667,29.48958333,0.49,57,11.7,322,2.3,1,0,1,TLA
3/19/2021 3:00:00,0,28,38,57,15,21,0.08,59,10.4,324,3.1,0,0,1,TLA
5/20/2021 1:00:00,52,1,8,1.5,38,14,0.1971875,21,17.4,321,1.3,0,0,1,TLA
8/23/2021 10:00:00,0,21.91666667,44.39583333,3.583333333,22.375,26.58333333,0.59,56,15.7,327,2.3,0,0,1,TLA
11/5/2021 4:00:00,0,28,38,36,10,18,0.18,72,9.7,322,3,0,0,1,TLA
12/14/2021 1:00:00,0,8,21,26,7,18,0.14,68,12.1,325,3.3,0,0,1,TLA
3/4/2022 3:00:00,0,26,51,3.020833333,13.58333333,30,0.3210416667,40,13.8,329,1.1,0,0,1,TLA
7/26/2022 2:00:00,0,9,21,1.958333333,13.58333333,20.36458333,0.17625,69,15.7,326,3.1,0,0,1,TLA
8/11/2022 21:00:00,353,12.28125,25.34375,1.5,17.3125,23.52083333,0.4291666667,72.54166667,17,255.8541667,2.1,0,0,1,TLA
7/20/2023 7:00:00,0,24,43,55,4,25,0.63,74,13.7,324,3.5,0,0,1,TLA
1/1/2021 0:00:00,61,19,37,2,6,37,0.6,36,10.5,29,1.6,1,0,1,TLA
3/29/2021 16:00:00,497,19,43,2,76,20,0.44,29,23.2,10,1.8,0,0,1,TLA
5/14/2021 10:00:00,0,12,22,2,22,18,0.5,57,16.2,351,2.1,0,0,1,TLA
6/16/2021 10:00:00,0,9,29,2,36,24,0.49,44,17.4,340,2.7,0,0,1,TLA
6/18/2021 6:00:00,0,14,27,2,5,31,0.39,70,13.7,348,1.8,0,0,1,TLA
6/18/2021 11:00:00,0,9,26,2,30,19,0.5,50,17.9,2,1.7,0,0,1,TLA
7/14/2021 22:00:00,211,6,21,2,6,24,0.26,71,15.1,319,3.5,0,0,1,TLA
10/4/2021 18:00:00,684,6,21,2,20,21,0.4,44,21,335,4,0,0,1,TLA
10/5/2021 18:00:00,656,8,22,2,8,20,0.27,69,16.9,349,4.2,0,0,1,TLA
11/16/2021 4:00:00,0,7,14,2,9,22,0.13,53,7.9,316,1.3,0,0,1,TLA
4/28/2022 1:00:00,15,23,29,2,13,35,0.25,65,13.6,35,1.1,0,0,1,TLA
6/1/2022 5:00:00,0,15,27,2,14,20,0.08,65,14.8,323,2.7,0,0,1,TLA
6/15/2022 13:00:00,15,5,22,2,34,15,0.28,43,21.8,343,1.7,0,0,1,TLA
6/23/2022 15:00:00,71,21,36,2,73,21,0.41,29,22.1,32,2.2,0,0,1,TLA
8/9/2022 3:00:00,0,14,22,2,16,10,0.1003125,71,14.8,329,2.8,0,0,1,TLA
9/16/2022 2:00:00,0,6,13,2,11,16,0.2822916667,67,15,328,3.5,1,0,1,TLA
9/16/2022 13:00:00,8,10,21,2,33,7,0.14,47,20.3,352,3.2,1,0,1,TLA
9/20/2022 20:00:00,764,16.5,25.875,2,13,19,0.3129166667,52,18.2,350,4.5,0,0,1,TLA
4/24/2023 2:00:00,0,21,48,2,16,33,0.23,36,18.8,347,2.3,0,0,1,TLA
5/31/2021 6:00:00,0,20,47.47916667,3,3,34,0.42,66,14.6,327,2.1,0,0,1,TLA
11/23/2021 21:00:00,131,27.67708333,83.10416667,3,11,27,0.53,55,16.2,339,3.8,0,0,1,TLA
2/1/2022 21:00:00,715,16,50,3,9,47,1.17,36,18.2,45,5.3,0,0,1,TLA
5/13/2022 6:00:00,0,20,50,3,2,31,0.73,57,13.5,317,1.7,0,0,1,TLA
5/16/2022 4:00:00,0,17,31,3,20,22,0.11,40,14.4,319,2.4,0,0,1,TLA
5/30/2022 2:00:00,0,12,28,3,22,14,0.12,54,18.1,38,1.3,0,0,1,TLA
6/6/2022 7:00:00,0,25,70,3,2,43,1.25,36,15.9,319,2.1,0,0,1,TLA
6/10/2022 11:00:00,0,23,51,3,38,32,0.6,46,19.3,359,1.8,0,0,1,TLA
9/16/2022 10:00:00,0,5,13,3,23,7,0.2927083333,57,17.2,347,2.5,1,0,1,TLA
8/23/2023 2:00:00,0,9,21,3,19,16,0.13,68,15.8,338,3,0,0,1,TLA
9/26/2023 3:00:00,0,14,27,3,14,28,0.1,71.05208333,14.96666667,320.2395833,2.414583333,0,0,1,TLA
7/2/2021 8:00:00,0,24,36,4,3,24,0.94,84,14,333,2,0,0,1,TLA
10/20/2022 6:00:00,0,21,55,4,1,36,0.92,73,9.8,318,1.3,0,0,1,TLA
6/11/2021 0:00:00,109,13.98958333,30.40625,5,20,17,0.09,56,14.7,326,3.2,0,0,1,TLA
6/17/2021 20:00:00,409,13,34,5,14,21,0.36,60,17,337,4.6,0,0,1,TLA
11/15/2021 6:00:00,0,13,19,5,10,15,0.21,70,8.1,330,1.3,1,0,1,TLA
6/9/2022 4:00:00,0,21,41,5,12,20,0.14,62,16.8,336,2.6,0,0,1,TLA
6/4/2021 22:00:00,68,23,24,6,2,51,0.75,82,15.6,24,1.1,0,0,1,TLA
9/12/2022 7:00:00,0,10,32,6,17,27,0.7,65,14,353,2.3,0,0,1,TLA
3/10/2021 3:00:00,0,7,20,7,10,30.1875,0.11,45,12.2,318,1.7,0,0,1,TLA
10/26/2022 3:00:00,0,21,39,7,4,24,0.2,67,16.6,316,2,0,0,1,TLA
8/28/2023 4:00:00,0,17,21,7,14,10,0.1,74,15.9,322,3.1,0,0,1,TLA
7/21/2023 5:00:00,0,11,27,8,9,24,0.22,65,15.9,345,1.9,0,0,1,TLA
6/9/2021 3:00:00,0,18.17708333,34.875,13,24,15,0.26,69,16.2,327,2.3,0,0,1,TLA
5/26/2021 8:00:00,0,34,37,16,5,36,1.08,66,15.5,321,1.1,0,0,1,TLA
4/2/2021 0:00:00,151,8,10,1,21,10,0.09,60,11.7,327,4.4,1,0,1,TLA
5/31/2021 4:00:00,0,10,31.3125,1,14,21,0.1,63,15,325,1.8,0,0,1,TLA
6/14/2021 21:00:00,330,13.34375,27.76041667,1,8,13,0.28,66,16.4,352,2.5,0,0,1,TLA
9/6/2021 0:00:00,10,10,12,1,20,16,0.22,84,14.1,327,2.6,0,0,1,TLA
9/6/2021 6:00:00,0,2,3,1,3,29,0.47,80,14.3,330,1.2,0,0,1,TLA
9/10/2021 15:00:00,208,10,30,1,48,10,0.31,40,19.8,357,4.1,0,0,1,TLA
9/22/2021 17:00:00,769,1,45,1,31,10,0.26,43,20.9,4,5,0,0,1,TLA
3/10/2022 0:00:00,212,13,30,1,20,11,0.1,27,17.3,33,3.7,0,0,1,TLA
6/2/2022 22:00:00,415,15,29,1,28,18,0.28,53,17.8,358,2.9,0,0,1,TLA
6/28/2022 18:00:00,812,3,7,1,13,27,0.49,79,15.1,317,3.9,0,0,1,TLA
6/29/2022 1:00:00,10,12,24,1,1,29,0.35,75,15.1,324,3.4,0,0,1,TLA
7/26/2022 22:00:00,607,9,23,1,19,25,0.22,54,18.6,339,4,0,0,1,TLA
9/5/2022 1:00:00,3,17,29.17708333,1,3,21,0.1,76,15.9,44,2.8,0,0,1,TLA
9/5/2022 2:00:00,0,7,12,1,10,13,0.1395833333,74,15.9,42,2.7,0,0,1,TLA
8/16/2023 5:00:00,0,12,23,1,12,11,0.03,68,12.8,322,3.6,0,0,1,TLA
9/15/2023 21:00:00,543,5,12,1,27,21,0.38,60.91666667,17.26458333,349,3.847916667,0,0,1,TLA
4/1/2021 14:00:00,125,7,40,0,46,5,0.1433333333,33,19.3,19,4.3,1,0,1,PED
5/14/2021 4:00:00,0,4,5,0,21,8,0.04,74,13.6,306,1.9,0,0,1,PED
7/23/2021 6:00:00,0,8,21,0,7,13,0.14,73,11.5,220,1.9,0,0,1,PED
10/19/2022 3:00:00,0,1,4,0,15,11,0.08,83,12.1,312,2.1,0,0,1,PED
9/9/2021 17:00:00,590,13,26,2,51,14,0.22,43,21,342,3,0,0,1,PED
7/4/2022 7:00:00,0,5,10,2,11,14,0.19,68,14.8,309,2.2,0,0,1,PED
8/22/2022 8:00:00,0,10.47916667,19.9375,2,8.4375,19,0.3,79,13.4,234,0.6,0,0,1,PED
11/29/2023 5:00:00,0,2,4,2.25,26,6,0.09,74,11.8,308,1.4,0,0,1,PED
2/3/2021 2:00:00,0,8,17,3,24,9,0.14,36,11,208,1.8,0,0,1,PED
9/20/2022 10:00:00,0,19.09375,27.9375,4,24.45833333,22,0.4310416667,64,15.9,303,1.9,0,0,1,PED
11/8/2022 1:00:00,0,10.69791667,21.27083333,14,8,19,0.19,59.89583333,15.09791667,340,3.1,0,0,1,PED
5/7/2021 16:00:00,566,19,35,0.5,80,10,0.08,30,23.2,331,2.3,0,0,1,PED
7/21/2023 5:00:00,0,9,13,0.75,8,9.708333333,0.09,70,15.4,345,2,0,0,1,PED
7/21/2023 6:00:00,0,7.5,13,0.75,4,11.8125,0.1560416667,68,15.2,331,1.3,0,0,1,PED
3/29/2021 3:00:00,0,12,19,1,28,8,0.13,63,15.3,353,2.3,0,0,1,PED
4/2/2021 18:00:00,228,7,46,1,45,9,0.32,32,21.4,353,4.5,1,0,1,PED
6/2/2021 8:00:00,0,10,18,1,13,18,0.21,73,15.6,97,1,0,0,1,PED
6/2/2021 10:00:00,0,10,16,1,26,16,0.29,59,18,69,1.4,0,0,1,PED
7/26/2021 4:00:00,0,5,7,1,18,7,0.05,71,12.8,230,1.7,0,0,1,PED
7/27/2021 5:00:00,0,12,15,1,17,10,0.14,75,13.1,213,0.9,0,0,1,PED
8/23/2021 14:00:00,149,14,22,1,65,11,0.19,40,21.2,61,2.3,0,0,1,PED
8/24/2021 0:00:00,145,4,10,1,20.83333333,9,0.13,71,14.9,304,2.5,0,0,1,PED
8/24/2021 20:00:00,244,8,13,1,9,28,0.53,67,18,220,2.1,0,0,1,PED
9/10/2021 9:00:00,0,9,20,1,20,26,0.35,73,14,27,2.7,0,0,1,PED
10/5/2021 1:00:00,0,2,5,1,16.34375,17.1875,0.1,71,15.6,319,1.8,0,0,1,PED
10/5/2021 22:00:00,380,4,8,1,9,19,0.28,82,14.8,323,1.6,0,0,1,PED
10/7/2021 6:00:00,0,14,18,1,11,19,0.32,83,13,18,1.4,0,0,1,PED
11/23/2021 10:00:00,0,4,8,1,20,15,0.24,61,14.6,51,1.5,0,0,1,PED
1/24/2022 22:00:00,368,10,17,1,19,16,0.2,46,14.9,266,2.6,0,0,1,PED
5/12/2022 4:00:00,0,5,20,1,26,8,0.08,64,13.1,267,1.4,0,0,1,PED
6/3/2022 1:00:00,36,17,21,1,30,8,0.09,61,16.5,336,2.8,0,0,1,PED
6/6/2022 6:00:00,0,4,12,1,21,17,0.16,33,15.6,209,0.7,0,0,1,PED
6/20/2022 6:00:00,0,13.9375,29,1,3,16,0.17,75,10.8,231,1.1,0,0,1,PED
6/23/2022 6:00:00,0,6,12,1,3,16,0.23,75,12.9,323,1.4,0,0,1,PED
6/29/2022 6:00:00,0,9,12,1,13,14,0.14,77,13.7,314,1.3,0,0,1,PED
6/29/2022 7:00:00,0,9,13,1,7,20,0.29,76,13.7,313,1.7,0,0,1,PED
7/13/2022 4:00:00,0,9,13,1,9.333333333,11,0.07,65,14.7,197,0.8,0,0,1,PED
9/26/2022 23:00:00,113,13.58333333,20.35416667,1,22.16666667,14.66666667,0.1604166667,68,15.1,339,2.8,0,0,1,PED
10/7/2022 10:00:00,0,15,23,1,10,27.5,0.39,71,14.8,14,1.4,0,0,1,PED
10/10/2022 18:00:00,78,9,24,1,30,13.75,0.32,57,17.7,330,3.3,0,0,1,PED
10/20/2022 0:00:00,2,3,11,1,13,15.10416667,0.2,74,11.1,340,1.6,0,0,1,PED
10/24/2022 22:00:00,453,10,23,1,7,31,0.48,61,18.3,161,1.4,0,0,1,PED
7/24/2023 4:00:00,0,9,12,1,20,10,0.04,72,14.4,332,2.1,0,0,1,PED
8/24/2023 3:00:00,0,3,8,1,16,11,0.01,74,14.5,262,1.4,0,0,1,PED
10/9/2023 1:00:00,0,12,15,1,18,15,0.17125,80,13.2,326,1.7,0,0,1,PED
10/11/2023 16:00:00,73,2,6,1,20,5,0.1848958333,42,20.9,197,3.3,0,0,1,PED
12/6/2023 5:00:00,0,12.5,24,1,13,15,0.1811458333,75,11.1,325,2.9,0,0,1,PED
9/15/2022 6:00:00,0,8.041666667,12.04166667,1.5,13.65625,11.03125,0.18125,69,14.8,320,1.4,0,0,1,PED
10/10/2022 11:00:00,0,23,32.125,1.09375,32.4375,22.85416667,0.4208333333,57,15.3,337,1.8,0,0,1,PED
5/26/2021 23:00:00,180,12.57291667,29.5,0.8541666667,38.5,13.66666667,0.2,38.66666667,19.8,349.3958333,2.279166667,0,0,1,PED
4/20/2021 3:00:00,0,17,23,0.4479166667,27.8125,8.864583333,0.1416666667,22,14.3,223,1.3,0,0,1,PED
9/20/2022 16:00:00,284,21.01041667,27.5,2.395833333,70,16.70833333,0.2875,39,21.5,323,2.8,0,0,1,PED
4/17/2023 5:00:00,0,29.41666667,40.14583333,1.072916667,32,12.77083333,0.06,67,13.7,351,1.4,0,0,1,PED
5/3/2023 2:00:00,0,15.73958333,22.71875,0.5833333333,21.38541667,15.78125,0.1614583333,45.1875,16.6,210.5,1.347916667,0,0,1,PED
4/20/2021 0:00:00,202,13,17,1.5,22,19.625,0.2945833333,15,18.5,24,1.1,0,0,1,BJU
8/21/2023 7:00:00,0,16,38,1.083333333,7,21,0.3,72,14.9,296,1.6,0,0,1,BJU
5/7/2021 22:00:00,372,13,27,0,26,18,0.19,43,19.8,334,2.5,0,0,1,BJU
6/29/2021 1:00:00,0,4,6,0,4,16,0.18,74,16.6,192,0.2,0,0,1,BJU
3/29/2021 6:00:00,0,23,40.1875,2,16,6,0.02,63,15.4,23,2.2,0,0,1,BJU
3/29/2021 14:00:00,40,24,50,2,57,14,0.32,34,21.9,346,1.7,0,0,1,BJU
3/29/2021 16:00:00,497,28,60,2,68,9,0.3,30,23.4,355,1.9,0,0,1,BJU
4/2/2021 12:00:00,0,3,13,2,31,7,0.08,46,17.4,337,2.1,1,0,1,BJU
7/22/2021 8:00:00,0,16,25,2,5,28,0.75,78,16.32708333,271,1.1,0,0,1,BJU
7/29/2021 9:00:00,0,15,24,2,12,24,0.36,66,16.6,336,1.8,0,0,1,BJU
12/3/2021 4:00:00,0,14,25,2,1,27,0.72,54,10.9,157,0.9,0,0,1,BJU
12/1/2022 8:00:00,0,15,23,2,6,26,0.34,69,12.7,306,1.6,0,0,1,BJU
2/1/2021 12:00:00,0,10,15,3,22,12,0.16,65,13.7,2,2.6,1,0,1,BJU
8/23/2021 11:00:00,0,22,36,3,29,29,0.42,52,18.2,37,1.8,0,0,1,BJU
11/29/2021 6:00:00,0,22.16666667,34,3,12,19,0.14,74,12.2,77,1.1,0,0,1,BJU
12/14/2021 4:00:00,0,17,32,3,0,29,0.35,64,11.7,98,1.1,0,0,1,BJU
7/26/2022 9:00:00,0,17,29,4,12.6875,36,0.96,63,16.2125,85,1.1,0,0,1,BJU
10/19/2022 18:00:00,81,8,25,4,20,21,0.33,60,15.4,316,2.8,0,0,1,BJU
11/2/2022 7:00:00,0,23,30,4,11,20,0.11,72,13.5,307,1.2,0,0,1,BJU
10/2/2023 5:00:00,0,25,31,4,19,15,0.19,72,13.95416667,346,1.4,0,0,1,BJU
7/22/2022 5:00:00,0,18,28,5,9,24,0.2,61,15.1,359,0.8,0,0,1,BJU
7/26/2022 8:00:00,0,15,28,5,6,28,1.06,81,15.1,211,0.7,0,0,1,BJU
5/17/2022 4:00:00,0,23,31,9,34,14,0.2,36,16.8,337,1.3,0,0,1,BJU
6/10/2021 5:00:00,0,21,27,11,12,21,0.24,68,16.7,337,1.7,0,0,1,BJU
8/11/2022 2:00:00,0,8,14,11,20,13,0.05,59,15.2625,309,1.8,0,0,1,BJU
12/16/2020 0:00:00,29,12,22,1,7,28,0.3,51,15.5,233,1.4,0,0,1,BJU
12/30/2020 23:00:00,278,6,18,1,28,6,0.1,47,14.1,170,4.2,0,0,1,BJU
5/6/2021 9:00:00,0,23,29,1,19,26,0.4,70,16.3,22,1.7,0,0,1,BJU
6/18/2021 5:00:00,0,6,9,1,23,13,0,66,17.39791667,357,1.7,0,0,1,BJU
7/1/2021 4:00:00,0,9,11,1,7,16,0.07,80,16.60208333,291,1,0,0,1,BJU
7/29/2021 18:00:00,644,3,27,1,50,12,0.27,31,20.275,359,4.2,0,0,1,BJU
8/23/2021 6:00:00,0,10,19,1,3,27,0.11,75,13.1,294,1.4,0,0,1,BJU
9/22/2021 4:00:00,0,17,24,1,16,20,0.05,70,15.7,295,1.5,0,0,1,BJU
10/21/2021 20:00:00,651,6,19,1,10,20,0.34,56,18.8,4,2.5,0,0,1,BJU
10/22/2021 20:00:00,365,8,22,1,10,21,0.25,60,18.1,353,3.1,0,0,1,BJU
11/19/2021 18:00:00,258,6,23,1,22,18,0.2,52,16.4,15,3.4,0,0,1,BJU
1/31/2022 0:00:00,129,16,31,1,18,33,0.58,56,15,79,0.7,0,0,1,BJU
6/21/2022 18:00:00,515,5,9,1,12,23,0.41,82,16,197,2.2,0,0,1,BJU
6/23/2022 0:00:00,14,3,7,1,15,12,0.14,66,15.9,5,2.1,0,0,1,BJU
7/7/2022 22:00:00,140,8,10,1,14,22,0.3,83,15.2,255,2.4,0,0,1,BJU
8/8/2022 0:00:00,121,10,14,1,13.20833333,25,0.32,81,16.51041667,324,1.7,0,0,1,BJU
8/12/2022 1:00:00,15,6,11,1,12.22916667,14,0.14,73,15.95416667,304,1.3,0,0,1,BJU
9/12/2022 15:00:00,312,18,32,1,60,12,0.23,41,20.8,323,2.5,0,0,1,BJU
9/16/2022 13:00:00,8,12,18,1,41,7,0.06,48,20.7,356,2.2,1,0,1,BJU
9/21/2022 7:00:00,0,6,13,1,2,28,0.27,71,14.3,323,2.2,0,0,1,BJU
9/23/2022 2:00:00,0,12,18,1,14,15,0.12,69,15.3,339,1.8,0,0,1,BJU
9/27/2022 4:00:00,0,6,8,1,19,8,0.09,79,14,30,1.5,0,0,1,BJU
11/30/2022 22:00:00,179,18,32,1,17,18,0.24,57,16,301,2.5,0,0,1,BJU
1/2/2023 20:00:00,540,9,18,1,21,17,0.34,49,16,157,3.2,0,0,1,BJU
1/3/2023 0:00:00,58,8,15,1,3,28,0.49,55,14.2,150,1.1,0,0,1,BJU
10/11/2023 17:00:00,248,9,15,1,18,9,0.19,33,24.9,271,3.1,0,0,1,BJU
10/11/2023 22:00:00,402,9,15,1,2,21,0.56,64,17.4,107,1.1,0,0,1,BJU
10/11/2023 23:00:00,256,9,15,1,2,20,0.53,66,16.6,117,0.7,0,0,1,BJU
6/10/2021 9:00:00,0,26,32,21,13,27,0.59,51,17.72604167,309,2.1,0,0,1,MER
3/22/2022 2:00:00,0,10,18,3.4375,7.479166667,29.09375,0.2816666667,31,18.4,216,2.2,0,0,1,MER
9/30/2022 0:00:00,31,11.5,22.89583333,2.03125,15.5,20.5,0.1805208333,59,14.1,30,2,0,0,1,MER
10/4/2022 4:00:00,0,25,36,19,3,29,0.21,73,13.6,342,1.2,0,0,1,MER
12/5/2022 2:00:00,0,19,30,5.041666667,1,25.25,0.50875,66,13,308,1.1,0,0,1,MER
7/1/2021 5:00:00,0,2,7,0,3,20,0.28,82,17.3,4,1.4,0,0,1,MER
7/22/2021 5:00:00,0,8,16,0,9,21,0.18,76,16.13333333,296,2.5,0,0,1,MER
8/12/2022 0:00:00,97,4,10,0,21,12,0.11,60,18,13,1.7,0,0,1,MER
1/28/2021 20:00:00,657,16,92,2,14,29,0.4,49,17,315,5,0,0,1,MER
8/24/2021 14:00:00,131,11,22,2,30,18,0.41,40,23.6125,337,2.3,0,0,1,MER
9/22/2021 5:00:00,0,16,22,2,4,30,0.5,75,15.4,321,1.3,0,0,1,MER
9/24/2021 6:00:00,0,16,24,2,1,28,0.55,76,14.2,327,1,0,0,1,MER
1/11/2022 0:00:00,4,29.72916667,46.14583333,2,3,23,0.27,67,11.9,305,3.7,0,0,1,MER
5/16/2022 4:00:00,0,17,34,2,8,35,0.23,37,15.8,124,1.4,0,0,1,MER
6/16/2022 4:00:00,0,24,42,2,2,18,0.05,68,15.1,302,3.3,0,0,1,MER
6/27/2022 1:00:00,22,10,17,2,23,14,0.07,65,17,312,1.5,0,0,1,MER
6/28/2022 9:00:00,0,10,23,2,9,22,0.56,68,17,285,1.9,0,0,1,MER
6/29/2022 6:00:00,0,14,26,2,3,28,0.36,73,15.2,311,2.7,0,0,1,MER
9/20/2022 17:00:00,464,11,27,2,14,32,0.55,43,23.2,347,3.8,0,0,1,MER
10/19/2022 17:00:00,341,14,39,2,12,30,0.79,59,16.7,315,4.3,0,0,1,MER
11/7/2022 12:00:00,0,50.02083333,79.71875,2,36,57,0.79,23,20.8,14,1.6,0,0,1,MER
11/23/2023 20:00:00,60,10,23,2,1,34,1.19,61,16.9,119,1.8,0,0,1,MER
12/15/2020 23:00:00,182,29,59,3,8,50,0.6,62,16.3,136,1.3,0,0,1,MER
7/28/2021 10:00:00,0,35,50,3,16,30,0.64,55,18.0625,303,1.6,0,0,1,MER
6/1/2022 7:00:00,0,12,37,3,3,33,0.7,67,15.9,38,1.6,0,0,1,MER
7/8/2022 5:00:00,0,11,20,3,1,27,0.37,80,16.2,297,2.2,0,0,1,MER
10/12/2022 6:00:00,0,27,56,3,2,32,1.17,81,14,67,0.7,0,0,1,MER
10/9/2023 8:00:00,0,17,32,3,3,40,0.98,73,15.8,328,1.6,0,0,1,MER
2/1/2021 19:00:00,591,18,49,4,29,32,0.54,44,20.59166667,332,3.5,1,0,1,MER
11/21/2022 6:00:00,0,10,16,4,5,23,0.28,75,13.1,307,2.1,1,0,1,MER
11/15/2021 5:00:00,0,29,40,13,1,29,0.08,78,10.6,276,1.7,1,0,1,MER
2/12/2021 23:00:00,130,10,20,1,13,15,0.09,35,16.32291667,211,3.4,0,0,1,MER
6/21/2021 2:00:00,0,12,14,1,9,20,0.35,71,17.6,316,1.7,0,0,1,MER
6/24/2021 23:00:00,197,4,5,1,4,24,0.54,86,16.04583333,260,1,0,0,1,MER
7/29/2021 10:00:00,0,15,28,1,16,26,0.6,55,19.29166667,302,1.4,0,0,1,MER
8/25/2021 1:00:00,19,7,11,1,16,11,0.02,64,16.89375,342,3,0,0,1,MER
10/4/2021 7:00:00,0,8,11,1,1,22,0.55,80,15.6,357,1.4,0,0,1,MER
1/24/2022 23:00:00,277,8,14,1,16,18,0.18,50,15.3,222,1.9,0,0,1,MER
3/18/2022 2:00:00,0,8,25,1,5,31,0.5,42,17.7,178,1.4,0,0,1,MER
3/22/2022 23:00:00,208,11,29,1,7,37,0.54,22,20,196,1.9,0,0,1,MER
4/27/2022 16:00:00,522,11,42,1,64,23,0.37,26,24.9,305,2.7,0,0,1,MER
6/28/2022 16:00:00,207,8,14,1,24,25,0.46,69,18.1,331,3.3,0,0,1,MER
6/30/2022 3:00:00,0,13,19,1,24,12,0.01,66,16.6,308,1.8,0,0,1,MER
9/1/2022 4:00:00,0,10,16,1,7,17,0.07,75,17,309,2.5,0,0,1,MER
9/14/2022 1:00:00,8,10,16,1,21,11,0.12,71,16.4,328,3.1,0,0,1,MER
9/21/2022 13:00:00,8,20,30,1,58,15,0.22,40,21.4,39,2.4,0,0,1,MER
9/27/2022 6:00:00,0,6,10,1,14,23,0.24,79,13.8,359,2.8,0,0,1,MER
10/7/2022 5:00:00,0,8,15,1,2,25,0.18,78,14.4,3,0.8,0,0,1,MER
11/30/2022 22:00:00,179,10,29,1,9,29,0.36,56,16.8,325,3,0,0,1,MER
12/1/2022 14:00:00,48,23,36,1,47,23,0.4,34,20.9,318,1.9,0,0,1,MER
11/28/2023 21:00:00,495,3,14,1,9,25,0.48,59,18,336,3,0,0,1,MER
7/13/2021 1:00:00,52,16,25,1.041666667,13.47916667,23.33333333,0.2566666667,59,15.4,317,4.5,0,0,1,TLA
8/20/2021 8:00:00,0,20,43,31,5,24,0.86,66,13.8,323,1.4,0,0,1,TLA
7/26/2022 5:00:00,0,18,27,27,3,23,0.19,77,14,324,1.6,0,0,1,TLA
8/5/2022 6:00:00,0,23,38,17,7,26,0.3508333333,69,13.4,327,2.1,0,0,1,TLA
8/22/2022 4:00:00,0,12,20,25,15,12,0.2025,76,14.3,329,2.1,0,0,1,TLA
9/23/2022 4:00:00,0,18,25.0625,12.14583333,13,15,0.1891666667,71,14.1,335,2,0,0,1,TLA
12/21/2022 2:00:00,0,21,40,21,5,32,0.03,57,8.2,320,2.5,0,0,1,TLA
8/14/2023 4:00:00,0,9,14,3.5,27,17.5,0.154375,73,15.4,331,3,0,0,1,TLA
1/28/2021 10:00:00,0,11,40,2,25,21,0.39,59,11.9,327,3.5,0,0,1,TLA
2/12/2021 22:00:00,294,7,16,2,13,14,0.1,33,12.5,324,4,0,0,1,TLA
7/1/2021 7:00:00,0,18,27,2,2,27,0.56,81,14.4,326,2.5,0,0,1,TLA
8/24/2021 9:00:00,0,1,22,2,19,17,0.36,58,16.1,319,3.5,0,0,1,TLA
8/27/2021 2:00:00,0,9,16,2,13,14,0.02,68,13.6,328,3.4,0,0,1,TLA
11/19/2021 9:00:00,0,30.5,63.71875,2,5,35,0.63,69,12.5,328,2.3,0,0,1,TLA
1/24/2022 21:00:00,603,7,21,2,16,17,0.22,31,16.1,319,4.2,0,0,1,TLA
6/23/2022 9:00:00,0,8,34,2,8,22,0.58,58,14.3,323,3.6,0,0,1,TLA
7/4/2022 18:00:00,519,17.70833333,49,2,37,21,0.41,46,20.6,13,1.9,0,0,1,TLA
7/14/2022 5:00:00,0,16.625,30.67708333,2,37,21,0.17,67,14.4,24,1.5,0,0,1,TLA
9/13/2022 15:00:00,287,24,48,2,61,17,0.4220833333,34,22.4,350,3,0,0,1,TLA
9/14/2022 2:00:00,0,23,35,2,22,13,0.11875,67,14.9,331,2.8,0,0,1,TLA
12/1/2022 7:00:00,0,19,32,2,1,31,0.47,70,11.7,320,3.4,0,0,1,TLA
9/12/2023 4:00:00,0,18,29,2,19,21,0.08,72.375,14.37291667,345.125,2.772916667,0,0,1,TLA
3/2/2021 16:00:00,429,32,55,3,114,17.25,0.32,20,25.8,23,2.4,0,0,1,TLA
